State,Year,Quarter,District,Transaction_Count,Transaction_Amount
arunachal-pradesh,2022,2,tawang district,132824,494351396.8226247
arunachal-pradesh,2022,2,namsai district,152652,293920909.24794424
arunachal-pradesh,2022,3,lower dibang valley district,112848,273001216.6677967
arunachal-pradesh,2022,3,lower subansiri district,109261,285712248.1429684
arunachal-pradesh,2022,3,longding district,57360,154461013.00605297
arunachal-pradesh,2022,3,west siang district,136332,395192937.9954808
arunachal-pradesh,2022,3,kamle district,16300,40508790.17987645
arunachal-pradesh,2022,3,upper siang district,51285,160298876.32394755
arunachal-pradesh,2022,3,tirap district,79206,216482194.52850336
arunachal-pradesh,2022,3,papum pare district,1651143,3211809407.131925
arunachal-pradesh,2022,3,kurung kumey district,12677,54808629.689540036
arunachal-pradesh,2022,3,anjaw district,32452,104784905.2209255
arunachal-pradesh,2022,3,siang district,34204,91702284.02541924
arunachal-pradesh,2022,3,lower siang district,38480,85746020.38579762
arunachal-pradesh,2022,3,kra daadi district,15939,59014513.91034414
arunachal-pradesh,2022,3,changlang district,216609,492535245.0550784
arunachal-pradesh,2022,3,pakke kessang district,12764,26095563.60834673
arunachal-pradesh,2022,3,dibang valley district,3266,19490605.610856578
arunachal-pradesh,2022,3,west kameng district,371632,945171308.1838298
arunachal-pradesh,2022,3,shi yomi district,4909,31175974.40628878
arunachal-pradesh,2022,3,east siang district,286766,594752976.4068052
arunachal-pradesh,2022,3,upper subansiri district,77637,256409311.95083195
arunachal-pradesh,2022,3,east kameng district,52570,166910810.4295592
arunachal-pradesh,2022,3,lohit district,236792,461745616.9201143
arunachal-pradesh,2022,3,lepa rada district,38997,105244758.5087227
arunachal-pradesh,2022,3,tawang district,138313,514855579.7238326
arunachal-pradesh,2022,3,namsai district,151676,277199997.0357646
arunachal-pradesh,2022,4,lower dibang valley district,137218,308329533.63406837
arunachal-pradesh,2022,4,lower subansiri district,143172,339443886.23657525
arunachal-pradesh,2022,4,longding district,63481,151727225.22689673
arunachal-pradesh,2022,4,west siang district,176377,449302139.4960692
arunachal-pradesh,2022,4,kamle district,22093,54695370.469332285
arunachal-pradesh,2022,4,upper siang district,61031,174436476.513136
arunachal-pradesh,2022,4,tirap district,88024,205933250.0190781
arunachal-pradesh,2022,4,papum pare district,1917365,3401999228.9392605
arunachal-pradesh,2022,4,kurung kumey district,14780,55991360.89182171
arunachal-pradesh,2022,4,anjaw district,31170,86691809.7433357
arunachal-pradesh,2022,4,siang district,46250,124012661.78071377
arunachal-pradesh,2022,4,lower siang district,50212,111700711.05104405
arunachal-pradesh,2022,4,kra daadi district,19724,69295211.52201861
arunachal-pradesh,2022,4,changlang district,254818,572195646.772961
arunachal-pradesh,2022,4,pakke kessang district,15377,28806042.8090343
arunachal-pradesh,2022,4,dibang valley district,3440,17938501.796178654
arunachal-pradesh,2022,4,west kameng district,421418,954522716.7333797
arunachal-pradesh,2022,4,shi yomi district,4926,33977040.52287009
arunachal-pradesh,2022,4,east siang district,327737,623525449.463265
arunachal-pradesh,2022,4,upper subansiri district,93017,285077053.9982841
arunachal-pradesh,2022,4,east kameng district,68774,178064501.28067553
arunachal-pradesh,2022,4,lohit district,276551,503661703.8315097
arunachal-pradesh,2022,4,lepa rada district,51416,127294274.35791278
