State,Year,Quarter,District,RegisteredUser
arunachal-pradesh,2022,2,kamle district,1210
arunachal-pradesh,2022,2,upper siang district,5440
arunachal-pradesh,2022,2,kurung kumey district,1854
arunachal-pradesh,2022,2,siang district,4160
arunachal-pradesh,2022,2,kra daadi district,1797
arunachal-pradesh,2022,2,changlang district,28495
arunachal-pradesh,2022,2,pakke kessang district,945
arunachal-pradesh,2022,2,east siang district,27240
arunachal-pradesh,2022,2,upper subansiri district,9235
arunachal-pradesh,2022,2,tawang district,16475
arunachal-pradesh,2022,2,namsai district,14887
arunachal-pradesh,2022,3,lower subansiri district,12085
arunachal-pradesh,2022,3,tirap district,11115
arunachal-pradesh,2022,3,papum pare district,124095
arunachal-pradesh,2022,3,anjaw district,3966
arunachal-pradesh,2022,3,lower siang district,5436
arunachal-pradesh,2022,3,dibang valley district,740
arunachal-pradesh,2022,3,west kameng district,30964
arunachal-pradesh,2022,3,shi yomi district,598
arunachal-pradesh,2022,3,east kameng district,5997
arunachal-pradesh,2022,3,lohit district,21385
arunachal-pradesh,2022,3,lepa rada district,4510
arunachal-pradesh,2022,3,lower dibang valley district,12668
arunachal-pradesh,2022,3,longding district,6321
arunachal-pradesh,2022,3,west siang district,16063
arunachal-pradesh,2022,3,kamle district,1262
arunachal-pradesh,2022,3,upper siang district,5690
arunachal-pradesh,2022,3,kurung kumey district,1936
arunachal-pradesh,2022,3,siang district,4369
arunachal-pradesh,2022,3,kra daadi district,1893
arunachal-pradesh,2022,3,changlang district,29965
arunachal-pradesh,2022,3,pakke kessang district,980
arunachal-pradesh,2022,3,east siang district,28698
arunachal-pradesh,2022,3,upper subansiri district,9713
arunachal-pradesh,2022,3,tawang district,17281
arunachal-pradesh,2022,3,namsai district,15642
arunachal-pradesh,2022,4,lower subansiri district,12630
arunachal-pradesh,2022,4,tirap district,11584
arunachal-pradesh,2022,4,papum pare district,130306
arunachal-pradesh,2022,4,anjaw district,4105
arunachal-pradesh,2022,4,lower siang district,5633
arunachal-pradesh,2022,4,dibang valley district,752
arunachal-pradesh,2022,4,west kameng district,32237
arunachal-pradesh,2022,4,shi yomi district,615
arunachal-pradesh,2022,4,east kameng district,6307
arunachal-pradesh,2022,4,lohit district,22359
arunachal-pradesh,2022,4,lepa rada district,4730
arunachal-pradesh,2022,4,lower dibang valley district,13188
arunachal-pradesh,2022,4,longding district,6590
arunachal-pradesh,2022,4,west siang district,16816
arunachal-pradesh,2022,4,kamle district,1301
arunachal-pradesh,2022,4,upper siang district,5930
arunachal-pradesh,2022,4,kurung kumey district,2008
arunachal-pradesh,2022,4,siang district,4500
arunachal-pradesh,2022,4,kra daadi district,1960
arunachal-pradesh,2022,4,changlang district,31196
arunachal-pradesh,2022,4,pakke kessang district,1013
arunachal-pradesh,2022,4,east siang district,30033
arunachal-pradesh,2022,4,upper subansiri district,10189
arunachal-pradesh,2022,4,tawang district,18003
arunachal-pradesh,2022,4,namsai district,16322
arunachal-pradesh,2023,1,lower subansiri district,13220
arunachal-pradesh,2023,1,tirap district,12127
arunachal-pradesh,2023,1,papum pare district,136357
arunachal-pradesh,2023,1,anjaw district,4310
arunachal-pradesh,2023,1,lower siang district,5917
arunachal-pradesh,2023,1,dibang valley district,789
arunachal-pradesh,2023,1,west kameng district,33625
arunachal-pradesh,2023,1,shi yomi district,631
arunachal-pradesh,2023,1,east kameng district,6598
arunachal-pradesh,2023,1,lohit district,23429
arunachal-pradesh,2023,1,lepa rada district,4938
arunachal-pradesh,2023,1,lower dibang valley district,13811
arunachal-pradesh,2023,1,longding district,6882
arunachal-pradesh,2023,1,west siang district,17590
arunachal-pradesh,2023,1,kamle district,1367
arunachal-pradesh,2023,1,upper siang district,6196
arunachal-pradesh,2023,1,kurung kumey district,2091
arunachal-pradesh,2023,1,siang district,4696
arunachal-pradesh,2023,1,kra daadi district,2051
arunachal-pradesh,2023,1,changlang district,32646
arunachal-pradesh,2023,1,pakke kessang district,1057
arunachal-pradesh,2023,1,east siang district,31416
arunachal-pradesh,2023,1,upper subansiri district,10648
arunachal-pradesh,2023,1,tawang district,18817
arunachal-pradesh,2023,1,namsai district,17064
arunachal-pradesh,2023,2,lower subansiri district,13816
arunachal-pradesh,2023,2,tirap district,12712
arunachal-pradesh,2023,2,papum pare district,141879
arunachal-pradesh,2023,2,anjaw district,4513
arunachal-pradesh,2023,2,lower siang district,6218
arunachal-pradesh,2023,2,dibang valley district,829
arunachal-pradesh,2023,2,west kameng district,35075
arunachal-pradesh,2023,2,shi yomi district,667
arunachal-pradesh,2023,2,east kameng district,6885
arunachal-pradesh,2023,2,lohit district,24522
arunachal-pradesh,2023,2,lepa rada district,5175
arunachal-pradesh,2023,2,lower dibang valley district,14441
arunachal-pradesh,2023,2,longding district,7228
arunachal-pradesh,2023,2,west siang district,18396
arunachal-pradesh,2023,2,kamle district,1434
arunachal-pradesh,2023,2,upper siang district,6473
arunachal-pradesh,2023,2,kurung kumey district,2177
arunachal-pradesh,2023,2,siang district,4928
arunachal-pradesh,2023,2,kra daadi district,2152
arunachal-pradesh,2023,2,changlang district,34286
arunachal-pradesh,2023,2,pakke kessang district,1107
arunachal-pradesh,2023,2,east siang district,32826
arunachal-pradesh,2023,2,upper subansiri district,11120
arunachal-pradesh,2023,2,tawang district,19674
arunachal-pradesh,2023,2,namsai district,17877
arunachal-pradesh,2023,3,lower subansiri district,14442
arunachal-pradesh,2023,3,tirap district,13297
arunachal-pradesh,2023,3,papum pare district,147681
arunachal-pradesh,2023,3,anjaw district,4694
arunachal-pradesh,2023,3,lower siang district,6527
arunachal-pradesh,2023,3,dibang valley district,863
arunachal-pradesh,2023,3,west kameng district,36577
arunachal-pradesh,2023,3,shi yomi district,688
arunachal-pradesh,2023,3,east kameng district,7180
arunachal-pradesh,2023,3,lohit district,25647
arunachal-pradesh,2023,3,lepa rada district,5394
arunachal-pradesh,2023,3,lower dibang valley district,15073
arunachal-pradesh,2023,3,longding district,7572
arunachal-pradesh,2023,3,west siang district,19174
arunachal-pradesh,2023,3,kamle district,1488
arunachal-pradesh,2023,3,upper siang district,6737
